CASE_GROUP_ID	STUDENT_ID	ACTION	ERROR	PRE_STATE	POST_STATE	STATE_LABEL	ACTION_LABEL	GOAL
Boisvert_Fall_2009	6.7687E+15	Del	0	K,K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		Del	0
Boisvert_Fall_2009	6.7687E+15	Del	0	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		Del	0
Boisvert_Fall_2009	6.7687E+15	DS	19	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		DS	0
Boisvert_Fall_2009	6.7687E+15	MT	19	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		MT	0
Boisvert_Fall_2009	6.7687E+15	DS	19	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		DS	0
Boisvert_Fall_2009	6.7687E+15	DS	0	K,K>M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	M	DS	0
Boisvert_Fall_2009	6.7687E+15	Del	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		Del	0
Boisvert_Fall_2009	6.7687E+15	ADD	3	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z		ADD	0
Boisvert_Fall_2009	6.7687E+15	CONJ~	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,M,M&~Z,Z>R,~(K>R),~(~KvR),~KvM,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	M&~Z	CONJ~	1
Boisvert_Fall_2009	6.77473E+15	CONJ&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z	M,~Z	CONJ&	0
Boisvert_Fall_2009	6.77473E+15	Del	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z		Del	0
Boisvert_Fall_2009	6.77473E+15	Del	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z		Del	0
Boisvert_Fall_2009	6.77473E+15	DEM	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z		DEM	0
Boisvert_Fall_2009	6.77473E+15	DN	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z		DN	0
Boisvert_Fall_2009	6.77473E+15	DN	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z	M&~Z	DN	0
Boisvert_Fall_2009	6.77473E+15	DEM	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z		DEM	0
Boisvert_Fall_2009	6.77473E+15	DEM	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z	K>M,Z>R,~(K>R)\M&~Z,M,~Z,~~M&~Z	~~M&~Z	DEM	0
Boisvert_Fall_2009	6.77473E+15	IMPL	0	K>M,Z>R,~(K>R)\M&~Z,M,~Z,~~M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z,M,~Z,~~M&~Z	~(~KvR)	IMPL	0
Boisvert_Fall_2009	6.77473E+15	DEM	19	K>M,Z>R,~(K>R),~(~KvR)\M&~Z,M,~Z,~~M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z,M,~Z,~~M&~Z		DEM	0
Boisvert_Fall_2009	6.77473E+15	DEM	0	K>M,Z>R,~(K>R),~(~KvR)\M&~Z,M,~Z,~~M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z,~~M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.77473E+15	Del	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z,~~M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z,~~M&~Z		Del	0
Boisvert_Fall_2009	6.77473E+15	Del	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z,~~M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z		Del	0
Boisvert_Fall_2009	6.77473E+15	CONJ	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z	M,~Z	CONJ	0
